id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
284,US,Congestion Mitigation and Air Quality (CMAQ) Improvement Program,"The CMAQ Program provides funding to state departments of transportation
(DOTs), local governments, and transit agencies for projects and
programs that help meet the requirements of the Clean Air Act by
reducing mobile source emissions and regional congestion on
transportation networks. Eligible activities include transit
improvements, travel demand management strategies, congestion relief
efforts (such as high occupancy vehicle lanes), diesel retrofit
projects, alternative fuel vehicles and infrastructure, and medium- or
heavy-duty zero emission vehicles and related charging equipment.
Projects supported with CMAQ funds must demonstrate emissions
reductions, be located in or benefit a U.S. Environmental Protection
Agency-designated nonattainment or maintenance area, and be a
transportation project. For more information, see the [FAST Act
CMAQ](http://www.fhwa.dot.gov/fastact/factsheets/cmaqfs.cfm) fact sheet
and [CMAQ Improvement
Program](http://www.fhwa.dot.gov/environment/air_quality/cmaq/) website.
(Reference [Public
Law](https://www.congress.gov/public-laws/117th-congress) 117-58,
[Public Law](https://www.congress.gov/public-laws/112th-congress)
112-141, 23 [U.S. Code](https://www.govinfo.gov/) 149, and 23 [U.S.
Code](https://www.govinfo.gov/) 151)
",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-58</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
317,US,State Energy Program (SEP) Funding,"The SEP provides grants to states to assist in designing, developing,
and implementing renewable energy and energy efficiency programs,
including programs to help reduce carbon emissions in the transportation
sector by 2050 and accelerate the use of alternative transportation
fuels for, and the electrification of, state government vehicles, fleet
vehicles, taxis and ridesharing services, mass transit, school buses,
ferries, and privately owned passenger and medium- and heavy-duty
vehicles. Each state\'s energy office receives SEP funding and manages
all SEP-funded projects. States may also receive project funding from
technology programs in the U.S. Department of Energy\'s Office of Energy
Efficiency and Renewable Energy (EERE) for SEP Special Projects. EERE
distributes the funding through an annual competitive solicitation to
state energy offices. SEP is authorized through fiscal year 2026. For
more information, see the
[SEP](http://energy.gov/eere/wipo/state-energy-program) website.
(Reference [Public
Law](https://www.congress.gov/public-laws/117th-congress) 117-58 and 42
[U.S. Code](https://www.govinfo.gov/) 6322 through 6325)
",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-58</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
323,US,Clean School Bus,"The U.S. Environmental Protection Agency's (EPA) Clean School Bus
program provides funding to eligible applicants for the replacement of
existing school buses with clean, alternative fuel school buses or
zero-emission school buses. EPA may award up to 100% of the cost of the
replacement bus, charging equipment, or fueling infrastructure.
Alternative fuels include electricity, natural gas, hydrogen, or
propane. Eligible applicants are school districts, state and local
government programs, federally recognized Indian tribes, non-profit
organizations, and eligible contractors. EPA will prioritize funding for
high-need local education agencies; low income, rural and tribal
schools; and, applications that cost share through public-private
partnerships, grants from other entities, or school bonds. For more
information, including funding availability, timeline, and application
materials, see the EPA [Clean School
Bus](https://www.epa.gov/cleanschoolbus) website.

(Reference [Public Law 117-58](https://www.congress.gov/public-laws/117th-congress) and [42 U.S. Code 16091](https://www.govinfo.gov/))",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-58</a>,<a href = 'https://www.govinfo.gov/' target = '_blank'>42 U.S. Code 16091</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
357,US,Vehicle Acquisition and Fuel Use Requirements for Federal Fleets,"Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty
vehicles acquired by covered federal fleets must be alternative fuel
vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992
expands the definition of AFVs to include hybrid electric vehicles, fuel
cell vehicles, and advanced lean burn vehicles. Fleets that use fuel
blends containing at least 20% biodiesel (B20) may earn credits toward
their annual requirements. Federal fleets are also required to use
alternative fuels in dual-fuel vehicles unless the U.S. Department of
Energy (DOE) approves waivers for agency vehicles; grounds for a waiver
include lack of alternative fuel availability and unreasonable cost (per
EPAct 2005, section 701).

Additional requirements for federal fleets were included in the [Energy
Independence and Security Act of
2007](http://www.afdc.energy.gov/laws/eisa), such as fleet management
plans and petroleum reduction from 2005 levels (Section 142), low
greenhouse gas (GHG) emitting vehicle acquisition requirements (Section
141), and renewable fuel infrastructure installation requirements
(Section 246). For more information, see the [Federal Fleet
Management](https://federalfleets.energy.gov/) website.

To track progress toward meeting AFV acquisition and fuel use
requirements, federal fleets must report on their percent alternative
fuel increase compared to the fiscal year 2005 baseline, alternative
fuel use as a percentage of total fuel consumption, AFV acquisitions as
a percentage of vehicle acquisitions, and fleet-wide miles per gasoline
gallon equivalent of petroleum fuels.

Executive Order 13834, issued in May 2018, requires the Secretary of
Energy (Secretary), in coordination with the Secretary of Defense, the
Administrator of General Services, and the heads of other agencies as
appropriate, to review the existing federal vehicle fleet requirements.
In April 2019, the Secretary provided a report to the Chairman of the
Council on Environmental Quality and the Director of the Office of
Management and Budget detailing opportunities to optimize federal fleet
performance, reduce associated costs, and streamline reporting and
compliance requirements. Specifically, the report recommends that
federal agencies identify and implement strategies to:

-   Right-size the fleet
-   Reduce vehicle miles traveled
-   Implement more fuel efficient vehicles
-   Align the implementation of AFVs and associated fueling
    infrastructure

Executive Order 14008, issued in January 2021, requires the Chair of the
Council on Environmental Quality, the Administrator of General Services,
and the Director of the Office and Management and Budget, in
coordination with the Secretary of Commerce, the Secretary of Labor, the
Secretary, and the heads of other relevant agencies, to assist the
National Climate Advisor in developing a comprehensive plan to
facilitate clean and zero-emission vehicles for federal, state, local,
and tribal government fleets, including vehicles of the U.S. Postal
Service. The plan must be submitted to the National Climate Task Force
by April 27, 2021.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13212 and [Executive
Order
13834](https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf)
and [Executive Order
14008](https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf))
",ELEC,<a href = 'http://www.gpo.gov/fdsys' target = '_blank'>U.S. Code 13212</a>,<a href = 'https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf' target = '_blank'>Executive Order 13834</a>,<a href = 'https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf' target = '_blank'>Executive Order 14008</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
386,US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs)
and electric vehicles (EVs) from HOV lane requirements within the state.
Eligible AFVs are defined as vehicles operating solely on methanol,
denatured ethanol, or other alcohols; a mixture containing at least 85%
methanol, denatured ethanol, or other alcohols; natural gas, propane,
hydrogen, or coal derived liquid fuels; or fuels derived from biological
materials. EVs are defined as vehicles that are recharged from an
external source of electricity and have a battery capacity of at least 4
kilowatt-hours. States are also allowed to establish programs allowing
low-emission and energy-efficient vehicles to pay a toll to access HOV
lanes.

Vehicles must be certified by the U.S. Environmental Protection Agency
(EPA) and appropriately labeled for use in HOV lanes. The U.S.
Department of Transportation (DOT) is responsible for planning and
implementing HOV programs, including the low-emission and
energy-efficient vehicle criteria EPA established. States that choose to
adopt these requirements will be responsible for enforcement and vehicle
labeling. The HOV exemption for AFVs and EVs expires September 30, 2025
and low-emission and energy-efficient vehicle toll-access to HOV lanes
expires September 30, 2019.

(Reference [Public
Law](https://www.congress.gov/public-laws/114th-congress) 114-94 and 23
[U.S. Code](https://www.govinfo.gov/) 166)
",ELEC,<a href = 'http://www.gpo.gov/fdsys/' target = '_blank'>U.S. Code 166</a>,<a href = 'http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112' target = '_blank'>Public Law 114-94</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
388,US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate
on propane, natural gas, methane gas, ethanol, or electricity are
classified as aftermarket AFV conversions. All vehicle conversions,
except those that are completed for a vehicle to run on electricity,
must meet current applicable U.S. Environmental Protection Agency (EPA)
standards. For more information about vehicle conversion certification
requirements, see the Alternative Fuels Data Center\'s [Vehicle
Conversions](https://afdc.energy.gov/vehicles/conversions.html) website
and EPA\'s [Certification and Compliance for Vehicles and
Engines](https://www.epa.gov/ve-certification) website. (Reference 40
[CFR](https://www.govinfo.gov/) 85 and [Enforcement Policy on Vehicle
and Engine Tampering and Aftermarket Defeat
Devices](https://www.epa.gov/sites/default/files/2020-12/documents/epatamperingpolicy-enforcementpolicyonvehicleandenginetampering.pdf))
",ELEC,<a href = 'http://www.gpo.gov/fdsys/' target = '_blank'>40 CFR 85</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
409,US,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Tax Credit,"The Inflation Reduction Act of 2022 (Public Law 117-169) amended the
Qualified Plug-in Electric Drive Motor Vehicle Credit (IRC 30D), now
known as the Clean Vehicle Credit, and added a new requirement for final
assembly in North America that took effect on August 17, 2022, with
additional requirements taking place beginning January 1, 2023. More
details are provided below by date and on the list of [EVs with Final
Assembly in North
America](https://afdc.energy.gov/laws/electric-vehicles-for-tax-credit).

Vehicle Purchases Before August 17, 2022
----------------------------------------

Qualifying EVs purchased before August 17, 2022, are eligible for a tax
credit that is available for the purchase of a new qualified EV that
draws propulsion using a traction battery that has at least four
kilowatt-hours (kWh) of capacity, uses an external source of energy to
recharge the battery, has a gross vehicle weight rating of up to 14,000
pounds, and meets specified emission standards. The minimum credit
amount is \$2,500, and the credit may be up to \$7,500 based on each
vehicle's traction battery capacity and the gross vehicle weight rating.
The credit will begin to be phased out for each manufacturer in the
second quarter following the calendar quarter in which a minimum of
200,000 qualified PEVs have been sold by that manufacturer for use in
the United States. This tax credit is also available for future EV
owners with a written binding contract to purchase a new qualifying
electric vehicle before August 16, 2022, but do not take possession of
the vehicle until on or after August 16, 2022. For more information,
including qualifying vehicles and sales by manufacturer, see the
[Internal Revenue Service (IRS) Qualified Plug-in Electric Drive Motor
Vehicle
Credit](https://www.irs.gov/businesses/irc-30d-new-qualified-plug-in-electric-drive-motor-vehicle-credit)
website.

Vehicle Purchases Between August 17 and December 31, 2022
---------------------------------------------------------

Qualifying EVs purchased and delivered between August 17, 2022, and
December 31, 2022, are eligible for the tax incentive as described above
but are limited to vehicles with final assembly in North America.
Manufacturer sales caps on vehicles apply. Note that for some
manufacturers, the build location may vary based on the specific
vehicle, trim, or the date in the Model Year when it was produced
because some models are produced in multiple locations. The build
location of a particular vehicle should be confirmed by referring to its
Vehicle Identification Number (VIN) using the U.S. Department of
Transportation's [VIN decoder](https://www.nhtsa.gov/vin-decoder) or an
information label affixed to the vehicle.

**For more information, see [EVs with Final Assembly in North
America](https://afdc.energy.gov/laws/electric-vehicles-for-tax-credit).**

Vehicles Placed in Service After December 31, 2022
--------------------------------------------------

Beginning January 1, 2023, the Clean Vehicle Credit provisions remove
manufacturer sales caps, expand the scope of eligible vehicles to
include both EVs and FCEVs, require a traction battery that has at least
seven kilowatt-hours (kWh), and establish criteria for a vehicle to be
considered eligible that involve sourcing requirements for critical
mineral extraction, processing, and recycling and battery component
manufacturing and assembly. Vehicles that meet critical mineral
requirements are eligible for \$3,750 tax credit, and vehicles that meet
battery component requirements are eligible for a \$3,750 tax credit.
Vehicles meeting both the critical mineral and the battery component
requirements are eligible for a total tax credit of up to \$7,500.

**Critical Minerals:** To be eligible for the \$3,750 critical minerals
portion of the tax credit, the percentage of the value of the battery's
critical minerals that are extracted or processed in the United States
or a U.S. free-trade agreement partner or recycled in North America,
must increase according to the following schedule:

  Year             Critical minerals minimum percent value requirement
  ---------------- -----------------------------------------------------
  2023             40%
  2024             50%
  2025             60%
  2026             70%
  2027 and later   80%

**Battery Components:** To be eligible for the \$3,750 battery
components portion of the tax credit, the percentage of the value of the
battery's components that are manufactured or assembled in North America
must increase according to the following schedule:

  Year             Battery components minimum percent value requirement
  ---------------- ------------------------------------------------------
  2023             50%
  2024 and 2025    60%
  2026             70%
  2027             80%
  2028             90%
  2029 and later   100%

To be eligible for the credits under these provisions, vans, sport
utility vehicles, and pickup trucks must meet the additional
requirements of not having a manufacturer suggested retail price (MSRP)
above \$80,000, and all other vehicles may not have an MSRP above
\$55,000. Additionally, the eligibility of individuals for the tax
credit is further limited by thresholds for modified adjusted gross
income (MAGI); only individuals having a MAGI below the following
thresholds are eligible for the tax credit:

-   \$300,000 for joint filers
-   \$225,000 for head-of-household filers
-   \$150,000 for single filers

Further guidance on these provisions is forthcoming. For more
information, including additional eligibility requirements, see the [IRS
Plug-In Electric Drive Vehicle
Credit](https://www.irs.gov/businesses/plug-in-electric-vehicle-credit-irc-30-and-irc-30d)
website.

(Reference [U.S. Code 30D](http://www.gpo.gov/fdsys/) and [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress))",ELEC,"<a href = 'https://www.congress.gov/112/plaws/publ240/PLAW-112publ240.pdf' target = '_blank'>Public Law 112-240, Section 403; and 26 </a>",<a href = 'http://www.gpo.gov/fdsys/' target = '_blank'>U.S. Code 30D</a>,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-169</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
411,US,Advanced Technology Vehicle (ATV) and Alternative Fuel Infrastructure Manufacturing Incentives,"The U.S. Department of Energy's (DOE) Advanced Technology Vehicles
Manufacturing Loan Program may offer direct loans to eligible
manufacturers for up to 30% of the cost of re-equipping, expanding, or
establishing manufacturing facilities in the United States used to
produce qualified ATVs, ATV components, or alternative fuel
infrastructure, including associated hardware and software. Qualified
ATVs are light-, medium-, and heavy-duty ultra-efficient vehicles that
meet specified federal emission standards and fuel economy requirements,
and emit low or zero exhaust. Ultra-efficient vehicles are fully closed
compartment vehicles, designed to carry at least two adult passengers,
which achieve at least 75 miles per gallon while operating on gasoline
or diesel fuel, as hybrid electric vehicles operating on gasoline or
diesel fuel, or as fully electric vehicles. Qualified components must be
designed for ATVs and installed for the purpose of meeting ATV
performance requirements, as determined by DOE. For more information,
see the DOE's [ATVs Manufacturing Loan
Program](https://www.energy.gov/lpo/products-services/advanced-technology-vehicles-manufacturing-loan-program)
website and [ATVs Manufacturing Loan
Program](https://www.energy.gov/sites/default/files/2020/01/f70/DOE-LPO-ATVM-Jan2020.pdf)
fact sheet.

(Reference [42 U.S. Code 17013](https://www.govinfo.gov/) and [Public Law 117-169](https://www.congress.gov/public-laws/117th-congress))",ELEC,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-58</a>,<a href = 'https://www.govinfo.gov/' target = '_blank'>42 U.S. Code 17013</a>,<a href = 'https://www.congress.gov/public-laws/117th-congress' target = '_blank'>Public Law 117-169</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4178,AZ,Zero Emission Vehicle Emissions Test Exemption,"Electric vehicles registered in Arizona are not required to complete
annual emissions testing. All alternative fuel vehicles, excluding
electric and hydrogen vehicles, used to commute into Phoenix or Tucson
are required to be emissions tested before they are registered. For more
information, visit the [Arizona Department of Environmental
Quality](http://www.myazcar.com/) website.

(Reference [Arizona Revised Statutes 49-541, 49-542 and 49-542.05](https://www.azleg.gov/ARStitle/))",ELEC,"<a href = 'https://www.azleg.gov/ARStitle/' target = '_blank'>Arizona Revised Statutes 49-541, 49-542 and 49-542.05</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4179,AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follows:

-   For AFVs initially registered between January 1, 2022, and December
    31, 2022, the assessed value of the AFV is 20% of the manufacturer's
    suggested retail price (MSRP);
-   For each succeeding year, for the purpose of calculating the license
    tax, the assessed value of the AFV is reduced by 15% from the value
    from the preceding year.

For the purpose of this tax, AFVs include those powered exclusively by
propane, natural gas, electricity, hydrogen, or a blend of hydrogen with
propane or natural gas. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. The reduced alternative fuel vehicle license tax does not apply
to any vehicle purchased on or after December 31, 2022.

(Reference [Arizona Revised Statutes 1-215, 28-5801, 28-5805](https://www.azleg.gov/arstitle/))",ELEC,"<a href = 'https://www.azleg.gov/arstitle/' target = '_blank'>Arizona Revised Statutes 1-215, 28-5801, 28-5805</a>","<a href = 'https://www.azleg.gov/' target = '_blank'>House Bill 2166, 2018</a>","<a href = 'https://www.azleg.gov/' target = '_blank'>Senate Bill 1332, 2019</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
